,Filing Date,Symbol,Company Name,Price Range,Shares Offered,Price Range_nos,Avg_price,Shares_offered_value
72,2023-11-08,WXM,WF International Limited,4.00 - 4.75,1600000.0,2,4.375,7000000.0
73,2023-11-08,JFY,Jiufuyuan Biotechnology Company Limited,5.00,,1,5.0,
74,2023-11-07,AMDI,Amphitrite Digital Incorporated,3.50 - 4.50,1750000.0,2,4.0,7000000.0
75,2023-11-06,SQVI,"Sequoia Vaccines, Inc.",8.00 - 10.00,2775000.0,2,9.0,24975000.0
76,2023-11-01,TLIH,Ten-League International Holdings Limited,4.00 - 5.00,2800000.0,2,4.5,12600000.0
77,2023-10-31,BIYA,Baiya International Group Inc.,4.00 - 6.00,3000000.0,2,5.0,15000000.0
78,2023-10-31,BLMZ,BloomZ Inc.,4.30,1250000.0,1,4.3,5375000.0
79,2023-10-30,HCWC,Healthy Choice Wellness Corp.,9.00 - 11.00,400000.0,2,10.0,4000000.0
80,2023-10-30,FONG,"Aibafang Group CO., Ltd.",-,,0,0.0,
81,2023-10-27,RAY,Raytech Holding Limited,4.00 - 5.00,1500000.0,2,4.5,6750000.0
82,2023-10-23,RMIC,"Reticulate Micro, Inc.",5.00 - 7.00,2000000.0,2,6.0,12000000.0
83,2023-10-23,EVMO,"EV Mobility, Inc.",4.00 - 6.00,1750000.0,2,5.0,8750000.0
84,2023-10-19,LFKG,Lianfeng Holding Acquisition,10.00,7000000.0,1,10.0,70000000.0
85,2023-10-17,IBO,"Impact BioMedical, Inc.",3.00 - 5.00,2000000.0,2,4.0,8000000.0
86,2023-10-17,MVRK,Maverick Lifestyle Inc.,4.50 - 5.50,800000.0,2,5.0,4000000.0
87,2023-10-16,WAY,Waystar Holding Corp.,-,,0,0.0,
88,2023-10-13,ORIS,Oriental Rise Holdings Limited,4.00,2000000.0,1,4.0,8000000.0
89,2023-10-11,PTHL,Pheton Holdings Ltd,4.00 - 5.00,2500000.0,2,4.5,11250000.0
90,2023-10-10,DOCO,"Docola, Inc.",5.75 - 6.75,1060870.0,2,6.25,6630437.5
91,2023-10-06,QMMM,QMMM Holdings Limited,4.00,2125000.0,1,4.0,8500000.0
92,2023-10-04,TDTH,Trident Digital Tech Holdings Ltd,5.00 - 7.00,1800000.0,2,6.0,10800000.0
93,2023-10-04,ROTR,"PHI Group, Inc.",-,,0,0.0,
94,2023-10-03,GRDN,"Guardian Pharmacy Services, Inc.",-,,0,0.0,
95,2023-09-29,KAPA,"Kairos Pharma, Ltd.",4.00,1550000.0,1,4.0,6200000.0
96,2023-09-29,VAPA,Valens Pay Global Limited,5.00 - 6.00,1000000.0,2,5.5,5500000.0
97,2023-09-28,TKE,OUI Global,4.00 - 6.00,2500000.0,2,5.0,12500000.0
98,2023-09-26,MTRS,"Metros Development Co., Ltd.",8.00 - 9.00,1000000.0,2,8.5,8500000.0
99,2023-09-25,BTOC,Armlogi Holding Corp.,5.00 - 6.00,2000000.0,2,5.5,11000000.0
100,2023-09-25,KHIW,Brilliance Group,4.00 - 5.00,2500000.0,2,4.5,11250000.0
